2786,DerivativeFairValueOfDerivativeLiability,us-gaap
2787,DerivativeLiabilities,us-gaap
2788,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetValue,us-gaap
2789,FairValueMeasurementWithUnobservableInputsReconciliationsRecurringBasisLiabilityValue,us-gaap
2790,LiabilitiesFairValueDisclosure,us-gaap
2791,AmortizationOfIntangibleAssets,us-gaap
2792,DerivativeFairValueOfDerivativeLiabilityAmountNotOffsetAgainstCollateral,us-gaap
2793,DerivativeAssets,us-gaap
2794,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersOutOfLevel3,us-gaap
2795,DerivativeFairValueOfDerivativeAssetAmountOffsetAgainstCollateral,us-gaap
2796,DerivativeFairValueOfDerivativeLiabilityAmountOffsetAgainstCollateral,us-gaap
2797,DerivativeFairValueOfDerivativeAssetAmountNotOffsetAgainstCollateral,us-gaap
2798,DerivativeLiabilityFairValueGrossAsset,us-gaap
2799,FinancialInstrumentsOwnedAtFairValue,us-gaap
2800,DerivativeAssetFairValueGrossLiability,us-gaap
2801,CashDividendsPaidToParentCompany,us-gaap
2802,DerivativeFairValueOfDerivativeAsset,us-gaap
2803,DerivativeLiabilitiesCurrent,us-gaap
2804,InvestmentsFairValueDisclosure,us-gaap
2805,CashDividendsPaidToParentCompanyByConsolidatedSubsidiaries,us-gaap
2806,DerivativeCollateralObligationToReturnCash,us-gaap
2807,Goodwill,us-gaap
2808,LoansAndLeasesReceivableAllowance,us-gaap
2809,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersIntoLevel3,us-gaap
